40.076	31.228	83.505	79.536
24.316	57.960	57.866	96.747
38.387	32.794	56.826	71.212
41.682	41.400	54.840	70.291
45.199	48.101	43.409	80.674
54.778	53.225	62.975	69.942
27.479	49.004	56.299	85.505
27.105	72.596	64.375	89.336
78.674	71.086	68.402	79.735
109.73	58.144	38.891	82.549
54.714	51.194	68.320	74.435
33.533	39.501	44.242	72.101
49.137	40.003	44.868	62.370
43.106	31.722	44.950	70.121
20.443	45.131	54.184	57.839
41.378	43.878	35.637	90.988
38.848	72.767	67.818	68.180
46.984	59.792	50.544	61.943
41.694	50.845	69.417	59.102
12.732	46.194	81.576	79.837
27.843	51.077	61.439	74.930
24.919	59.960	53.188	79.781
31.140	79.079	64.811	81.807
21.914	54.250	40.203	68.848
37.053	61.223	58.633	87.021
29.822	58.832	58.048	71.868
49.107	57.212	55.883	78.845
32.121	63.021	45.652	51.036
49.074	66.372	42.012	71.915
25.577	50.574	57.303	64.675
21.525	45.916	66.532	61.952
29.135	52.947	54.503	46.549
49.500	62.957	36.800	50.086
59.091	65.807	63.439	69.424
33.052	42.945	70.998	69.052
67.640	61.859	41.368	56.913
38.851	47.762	14.787	61.704
42.114	45.633	69.862	80.420
36.749	57.039	58.818	67.991
33.669	62.117	34.499	69.271
44.096	42.587	50.537	79.955
48.874	30.518	71.932	86.040
37.773	49.346	51.100	57.702
16.645	57.189	54.722	89.946
82.387	51.085	57.957	71.658
29.499	70.508	57.427	66.887
76.285	45.700	51.835	88.151
56.564	60.337	44.006	77.330
16.726	39.798	66.425	66.190
40.378	33.579	66.638	67.096
