0.8023	0.54365	0.49192	0.41433	0.285	0.026352	-0.7496	-2.3015	-3.8534	-5.458	-3.9061	-2.3542	-1.5783	-1.3196	-1.1903	-1.1127	-1.061
0.43825	0.227	0.18475	0.12137	0.01575	-0.1955	-0.82925	-2.0967	-3.3642	-4.2407	-2.9732	-1.7057	-1.072	-0.86075	-0.75512	-0.69175	-0.6495
-1.2513	-1.0902	-1.058	-1.0096	-0.92909	-0.76798	-0.28468	0.68192	1.6485	4.1511	3.1845	2.2179	1.7346	1.5735	1.4929	1.4446	1.4124
0.75031	0.74342	0.74204	0.73997	0.73652	0.72963	0.70895	0.66758	0.62621	-0.87442	-0.83305	-0.79168	-0.771	-0.7641	-0.76066	-0.75859	-0.75721
2.6246	2.6745	2.6845	2.6994	2.7243	2.7742	2.9237	3.2228	3.522	-1.7273	-2.0264	-2.3255	-2.4751	-2.5249	-2.5499	-2.5648	-2.5748
0.83421	0.75539	0.73963	0.71598	0.67657	0.59775	0.36128	-0.11165	-0.58458	-2.253	-1.7801	-1.3071	-1.0707	-0.99185	-0.95244	-0.9288	-0.91303
0.85705	0.7105	0.68119	0.63723	0.56396	0.41741	-0.022219	-0.90148	-1.7807	-3.4948	-2.6156	-1.7363	-1.2967	-1.1501	-1.0769	-1.0329	-1.0036
-0.2754	-0.30316	-0.30871	-0.31704	-0.33092	-0.35869	-0.44198	-0.60856	-0.77515	-0.22435	-0.05777	0.10881	0.19211	0.21987	0.23375	0.24208	0.24763
1.982	1.9346	1.9251	1.9109	1.8871	1.8397	1.6974	1.4127	1.128	-2.836	-2.5513	-2.2667	-2.1243	-2.0769	-2.0532	-2.039	-2.0295
-0.79537	-0.78419	-0.78195	-0.7786	-0.77301	-0.76182	-0.72828	-0.66118	-0.59409	0.99666	0.92956	0.86247	0.82892	0.81774	0.81215	0.80879	0.80655
1.776	1.7535	1.749	1.7423	1.731	1.7086	1.6411	1.5062	1.3714	-2.1807	-2.0458	-1.9109	-1.8435	-1.821	-1.8097	-1.803	-1.7985
0.35684	0.32009	0.31274	0.30172	0.28334	0.24659	0.13633	-0.084176	-0.30469	-1.0184	-0.79787	-0.57735	-0.4671	-0.43035	-0.41197	-0.40095	-0.3936
1.089	1.251	1.2834	1.332	1.413	1.575	2.061	3.033	4.005	1.827	0.85497	-0.11703	-0.60303	-0.76503	-0.84603	-0.89463	-0.92703
-1.2516	-1.239	-1.2365	-1.2328	-1.2265	-1.2139	-1.1762	-1.1009	-1.0255	1.4777	1.4023	1.327	1.2893	1.2767	1.2704	1.2667	1.2642
0.14206	0.053627	0.03594	0.0094089	-0.03481	-0.12325	-0.38856	-0.91918	-1.4498	-1.7339	-1.2033	-0.67268	-0.40737	-0.31894	-0.27472	-0.24819	-0.2305
-0.75804	-0.9462	-0.98383	-1.0403	-1.1344	-1.3225	-1.887	-3.0159	-4.1448	-2.6287	-1.4998	-0.37088	0.19358	0.38173	0.47581	0.53226	0.56989
